"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"579 郵便・信書便","0.0013180364960223771","0.001695693534390459","0.001547014223631388","0.002819883578220598","6.436868513328281E-4","3.403581378043282E-4","1.220213446172303E-4","3.9935003251190027E-4","6.608380745463281E-4","0.0011021071125551763"
"591 通信","0.012674666494487091","0.04523203212999537","0.0055053001181347835","0.007673772047672144","0.006372096431386991","0.002967112807265985","9.74073950071686E-4","0.0026570174600805143","0.008487236625145965","0.019566270784148104"
"592 放送","0.0017477437536755419","0.002792556042489648","1.8129103852324526E-4","1.0358984785992628E-4","1.375174846338723E-4","1.0350430925329889E-4","4.7419659549531555E-5","1.6716912861905863E-4","0.0021639433693160168","0.0018861225477406014"
"593 情報サービス","6.89200602875562E-4","0.001421598791900579","0.001094830357890448","0.001569951927663533","0.0042902694504792825","0.010671311176834146","2.062141642131884E-4","7.279430907040566E-4","0.0011993948774470268","0.002020529706351157"
"594 インターネット附随サービス","5.446026143638961E-4","7.888243955249417E-4","1.6594009281242894E-4","2.437391374936237E-4","2.017815474597255E-4","2.0231555740000498E-4","7.20123029076862E-5","1.9796942008673213E-4","4.1462616583054393E-4","4.8313924581632037E-4"
"595 映像・音声・文字情報制作","0.0018470409320635334","0.0019304162637725857","0.0016812263048732851","0.002111880978715224","7.199341567464587E-4","6.741707222234355E-4","-1.1173959490683265E-4","6.073322864475722E-4","0.0016779522796359291","0.0016474748195848456"
"611 公務","2.1951353771549104E-4","0.0046151369071928934","0.24345528794359125","0.8003056784937314","0.001033218690864225","6.442474926425311E-4","1.1790194906765577E-4","3.467325749682835E-4","8.164937554511524E-4","0.03982447783371671"
"631 教育","3.717804659099846E-4","0.017246493092104635","0.15442377150705972","0.12290970291395303","4.870949058184784E-4","3.516598780197318E-4","8.700767807560596E-5","5.202279461167333E-4","0.003994643472820599","0.0254286972392675"
"632 研究","0.0016705088113835647","0.0025899381787559614","0.023943479579475586","0.020374893526336202","0.004055293159210859","0.0032003317116364614","0.005621605753615895","0.03080449404383906","0.01973824083679489","0.012582942325904033"
"641 医療","0.024864794828559376","0.030548246339916766","0.37893285402482796","0.0","0.0","0.0","0.0","0.0","0.0","0.04997119169714387"
"642 保健衛生","0.020101492139061008","7.010652414168495E-4","0.008013107680267022","5.7824582002233E-4","6.018281916807317E-5","4.08114460045322E-5","9.193124790116243E-5","6.343133915223774E-5","1.0402410466407934E-4","0.001408669151172201"
"643 社会保険・社会福祉","5.173829421093477E-4","0.015390352645549391","0.05909037510956886","0.015922655547379608","0.0","0.0","0.0","0.0","0.0","0.011429820510374463"
"644 介護","0.0","0.0018816939247888647","0.13156848392839393","0.0","0.0","0.0","0.0","0.0","0.0","0.014406046711146855"
"659 その他の非営利団体サービス","0.001987056088801902","0.01948116772605478","0.0012529432598507623","6.906370848150543E-4","0.0015844165327484534","9.175771815152037E-4","5.799637640586957E-4","0.0016577430751329864","0.007503979570231959","0.009805089087781303"
"661 物品賃貸サービス","0.002737414936534159","0.0027485675289494935","0.004944331972711274","0.0053761724823377394","0.013279842471057627","0.00624580840913398","7.349016023557076E-4","0.002383828770142051","0.003539711334874901","0.0039233939213217444"
"662 広告","7.935231714775292E-4","8.058860045979425E-4","3.796434575627116E-4","4.0519314745232924E-4","3.8052067882896377E-4","3.219025603621332E-4","1.8857927309189648E-4","8.218761152039516E-4","8.225353330670704E-4","7.077302911091636E-4"
"663 自動車整備・機械修理","0.006461025950994914","0.016275167505713763","0.008761140934380598","0.015412148425348552","0.013849230405088526","0.00650065680982516","0.003398401866602421","0.009850776402131218","0.00979468284754774","0.011655359197208627"
"669 その他の対事業所サービス","0.010627556718678466","0.015573244802093319","0.02011121460198582","0.025178236772193614","0.048153950628799985","0.02895567166665636","0.0027100499919960157","0.01019979040236964","0.009872435346421328","0.015551903274859653"
"671 宿泊業","0.00983592282677978","0.0010233378552856984","0.0","0.0","0.0","0.0","0.0","0.0","0.015766356680469835","0.007207919503536914"
"672 飲食サービス","0.3468743668781754","0.04436317525290489","0.004491777665130083","1.3738086676894738E-4","1.9869387294527965E-4","1.239146129946702E-4","4.560910174053968E-5","9.374833986224437E-5","0.0026886199356169847","0.020863592054215205"
"673 洗濯・理容・美容・浴場業","0.002598836837860023","0.011216454738700473","0.005976360105676887","2.7155285343084443E-4","1.1062932598963744E-4","4.98731605381299E-5","2.1330044666678902E-5","5.9821092589333195E-5","6.941371651204962E-4","0.0046007996831086695"
"674 娯楽サービス","0.0770636359554924","0.021098444070250844","1.8777510286126952E-4","1.709819611949848E-4","2.5337364857159025E-4","1.6936075338219803E-4","2.3617367072552924E-5","1.1059939071189703E-4","0.002399214915674193","0.008977324201438272"
"679 その他の対個人サービス","0.005823712819462086","0.01886715888201738","5.494654175822104E-4","5.280611499220238E-4","5.170798098752239E-4","3.2097033499396E-4","8.430210272743486E-5","6.683062757268427E-4","3.782932527084114E-4","0.006455334179471937"
"681 事務用品","0.0010943644530750757","0.0013620610431352164","0.0029930887994746268","0.003296798954482355","0.002387400527147235","6.80235094004822E-4","2.915914236023054E-4","0.0011331498839925716","0.0010763899098959237","0.0014105644342548402"
"691 分類不明","0.003022358478839298","0.004912546363386395","0.005869174147668671","0.0041242878053605455","0.01422580722504732","0.00887028149663729","0.0016233256460845668","0.004773965873591863","0.011241843443412296","0.008226476220199043"
"合計","0.7942673337049669","0.8559527595143444","1.1961845600820724","1.205542416014374","1.2770927563587742","0.7259254226834867","0.6983024419357614","1.4581705825431763","1.4557296629802845","1.1561130460547469"
