"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","合計"
"642 保健衛生","0.2003816083183961","0.16103403354381876","0.5965277558062756","0.006343782598670808","0.0013719172622464362","0.0020585825986315703","0.0006535477861218864","0.00006648947076289613","0.03156228261507579","1.0"
"643 社会保険・社会福祉","0.0006356400619058147","0.43568980764978993","0.5421456997567986","0.02152885253150564","0.0","0.0","0.0","0.0","0.0","1.0"
"644 介護","0.0","0.04226417576634653","0.9577358242336534","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"659 その他の非営利団体サービス","0.002845752642503958","0.6428826143912025","0.013400424034246723","0.0010885368707814532","0.005188982648028936","0.0066494600261456606","0.0005923419794124715","0.00024964546333690313","0.3271022419443412","1.0"
"661 物品賃貸サービス","0.009797545372260198","0.22667975591213813","0.13215524023160155","0.021176592128005444","0.10869145573227941","0.11311548496242706","0.001875817036309569","0.0008971625607688112","0.3856109460642098","1.0"
"662 広告","0.015744555155745524","0.36844618951478275","0.05625314616025073","0.008847877503217036","0.017265329689084948","0.03231855730218227","0.0026683904016212446","0.0017147332740552886","0.4967412209990604","1.0"
"663 自動車整備・機械修理","0.0077842072236572","0.4518226979322822","0.07882676163527763","0.02043536098329862","0.03815613487236406","0.039630257595872416","0.0029199288410454915","0.0012479661307323532","0.3591766847854698","1.0"
"669 その他の対事業所サービス","0.009595960477124143","0.32401402094733595","0.13561053667139353","0.02501995705856377","0.09942893178471052","0.1322956046535931","0.0017450864735647398","0.0009684243500030841","0.27132147758371117","1.0"
"671 宿泊業","0.01916212859316264","0.045938557253847455","0.0","0.0","0.0","0.0","0.0","0.0","0.93489931415299","1.0"
"672 飲食サービス","0.2334649509059312","0.688021136248639","0.022577084052792327","0.00010176113984774913","0.00030581570857804414","0.0004220158487011173","0.000021892009757609197","0.000006634871302912404","0.055078709214450024","1.0"
"673 洗濯・理容・美容・浴場業","0.007932028301314684","0.788842903975603","0.1362203883942966","0.0009121491109681177","0.0007721494007177867","0.0007702449949144217","0.000046428177553568226","0.000019199018009532305","0.06448450862662236","1.0"
"674 娯楽サービス","0.12054276581926227","0.7604519174613984","0.002193460308697846","0.0002943392494547301","0.0009063145097287367","0.0013404826160468592","0.00002634558016541677","0.000018191303725642583","0.1142261831515198","1.0"
"679 その他の対個人サービス","0.012668342216323018","0.9457057217989002","0.00892607054830666","0.0012641839742995248","0.002572191197509077","0.0035329824850531574","0.0001307804640226985","0.00015286737550817802","0.025046859940077448","1.0"
"681 事務用品","-","-","-","-","-","-","-","-","-","-"
"691 分類不明","-","-","-","-","-","-","-","-","-","-"
"平均","0.011128432948273972","0.3327389439020924","0.1580842582257389","0.024440934752266632","0.03543457996714836","0.04714244026049382","0.003720498380569346","0.0012020181013428712","0.38610789346207375","1.0"
